順位,名前,点数
2784,日本出版貿易,85
62,東北電力,85
2099,日本証券金融,85
1591,フクビ化学工業,85
533,シークス,85
1660,ホギメディカル,85
3142,イーサポートリンク,85
1104,大日本塗料,85
1100,タムロン,85
1861,大冷,85
3135,アジュバンコスメジャパン,85
2265,東京特殊電線,85
1698,トップカルチャー,85
123,信越化学工業,85
1727,サーラ住宅,85
1541,タイガースポリマー,85
1405,富士通コンポーネント,85
135,兼松,85
900,ナラサキ産業,85
1439,北海電気工事,85
1053,特種東海製紙,85
2988,マルマン,85
2003,巴コーポレーション,85
2285,国際計測器,85
739,ダイキョーニシカワ,85
2652,ホクシン,85
1395,シキボウ,85
1031,矢作建設工業,85
1966,児玉化学工業,85
2475,日本コロムビア,85
1962,東陽テクニカ,85
756,日本冶金工業,85
443,東建コーポレーション,85
2620,サンセイランディック,85
1336,山下医科器械,85
3348,リーダー電子,85
2952,日本パレットプール,85
2954,日本デコラックス,85
2339,石原ケミカル,85
968,学研ホールディングス,85
2719,ダイトーケミックス,85
962,東リ,85
1458,三栄コーポレーション,85
1375,島精機製作所,85
926,ラクト・ジャパン,85
957,小森コーポレーション,85
1786,白銅,85
1905,西川計測,85
1904,中西製作所,85
1353,アイチコーポレーション,85
738,クスリのアオキ,84
2749,光製作所,84
1187,三栄建築設計,84
3022,協立情報通信,84
1043,加藤製作所,84
327,住友理工,84
2429,岡谷電機産業,84
1513,鶴見製作所,84
1060,百十四銀行,84
1062,スミダコーポレーション,84
275,荏原製作所,84
274,レオパレス２１,84
1077,日本アジアグループ,84
2889,京都機械工具,84
609,シダックス,84
2353,東京テアトル,84
2993,東京ボード工業,84
2976,城南進学研究社,84
1502,北興化学工業,84
120,中国電力,84
1269,明治電機工業,84
681,ホッカンホールディングス,84
402,石油資源開発,84
1357,四国化成工業,84
671,ガリバーインターナショナル,84
1433,川崎近海汽船,84
1144,ワールドホールディングス,84
1657,スーパーバッグ,84
557,トランス・コスモス,84
2130,日本化学産業,84
641,マックスバリュ中部,84
2203,日本ビューホテル,84
1914,シーアールイー,84
1858,ツカモトコーポレーション,83
219,ケーズホールディングス,83
1427,上村工業,83
2123,田岡化学工業,83
3496,システム・ロケーション,83
2556,両毛システムズ,83
3240,昴,83
43,スズキ,83
1451,長谷川香料,83
3178,セブンシーズホールディングス,83
1812,ユシロ化学工業,83
1123,サカイ引越センター,83
2839,旭化学工業,83
658,カゴメ,83
1374,ホソカワミクロン,83
2086,本州化学工業,83
2460,ニッポン高度紙工業,83
982,フルサト工業,83
1342,キトー,83
2145,エムケー精工,83
2076,トラスト・テック,83
93,クボタ,83
1459,片倉工業,83
888,乃村工藝社,83
989,堺化学工業,83
953,ハマキョウレックス,83
1673,三晃金属工業,83
1753,アルゴグラフィックス,83
1483,木曽路,83
1411,ローランド　ディー．ジー．,83
687,ヨロズ,83
491,コジマ,83
339,三井海洋開発,83
1168,プレサンスコーポレーション,83
704,マックスバリュ九州,83
2767,ベリテ,83
948,日本トランスシティ,83
569,Ｊ－オイルミルズ,83
847,共立メンテナンス,83
1287,丸和運輸機関,83
1751,守谷商会,83
365,ココカラファイン,83
3287,中日本興業,83
2941,ユーラシア旅行社,83
2759,平賀,83
2940,川上塗料,83
3118,櫻島埠頭,83
2472,共栄タンカー,83
2014,鈴木,83
3628,中部証券金融,83
3475,ホロン,83
3201,リミックスポイント,83
2640,セキド,83
353,ローム,83
1327,セントラルスポーツ,83
1529,アイ・オー・データ機器,83
750,フジシールインターナショナル,83
2543,京福電気鉄道,83
1732,中部日本放送,83
1301,北川鉄工所,83
3102,秋川牧園,83
2609,阪神内燃機工業,83
152,住友金属鉱山,83
1896,日本アビオニクス,83
2315,川辺,83
1527,駒井ハルテック,83
3632,光世証券,83
1205,オイレス工業,83
1866,滝澤鉄工所,83
3098,日本プリメックス,83
2688,日本高純度化学,83
799,関西スーパーマーケット,83
1561,寺崎電気産業,82
1464,マルゼン,82
586,沖縄電力,82
1629,日本化学工業,82
1888,酒井重工業,82
1994,オリバー,82
4,日本電信電話,82
1631,井村屋グループ,82
3206,クリップコーポレーション,82
935,藤森工業,82
575,日本航空電子工業,82
1637,三井住建道路,82
149,山崎製パン,82
3478,エンカレッジ・テクノロジ,82
610,日本電設工業,82
452,加賀電子,82
298,ツルハホールディングス,82
1371,プロトコーポレーション,82
2279,ダルトン,82
1613,イリソ電子工業,82
453,アズビル,82
1913,ミルボン,82
2144,トーア紡コーポレーション,82
1611,あじかん,82
3227,新報国製鉄,82
2377,帝国通信工業,82
620,日産化学工業,82
1649,ダイビル,82
2191,兼房,82
2343,ニッコー,82
2733,オーケー食品工業,82
2619,ＧＭＯクラウド,82
1421,酉島製作所,82
866,中国塗料,82
2524,アーバネットコーポレーション,82
3416,トランスジェニック,82
2593,ダイケン,82
1074,鬼怒川ゴム工業,82
1596,サトレストランシステムズ,82
1743,カーチスホールディングス,82
689,トーカン,82
1252,フジッコ,82
863,日新電機,82
2892,オンリー,82
790,カナデン,82
1585,南海辰村建設,82
1414,ミマキエンジニアリング,82
3076,日本エンタープライズ,82
976,東京応化工業,82
1257,オービック,82
3359,ＭＩＣＳ化学,82
2462,オーバル,82
1662,横浜魚類,82
483,北越紀州製紙,82
985,三菱総合研究所,82
3146,ジェネレーションパス,82
3515,ファーストロジック,82
3451,アウンコンサルティング,82
1936,中外炉工業,82
202,ドンキホーテホールディングス,82
685,ロート製薬,82
2328,仙波糖化工業,82
1954,昭和飛行機工業,82
1975,日本電技,81
1311,フランスベッドホールディングス,81
3317,誠建設工業,81
1188,ケーユーホールディングス,81
892,日本パーカライジング,81
993,タムラ製作所,81
3457,横田製作所,81
590,日立国際電気,81
3132,ダブル・スコープ,81
1211,大平洋金属,81
151,カルソニックカンセイ,81
3024,佐藤食品工業,81
2535,スペースシャワーネットワーク,81
198,北海道電力,81
2175,高千穂交易,81
2084,神島化学工業,81
