順位,名前,点数
800,日本写真印刷,75
801,三菱製鋼,57
802,バイテックホールディングス,73
803,飛島建設,67
804,セリア,76
805,橋本総業,37
806,デジタル・アドバタイジング・コンソーシア,73
807,大都魚類,62
808,キッツ,93
809,ＪＳＰ,1
810,クリナップ,116
811,東鉄工業,56
812,コニシ,86
813,トレンドマイクロ,93
814,京都銀行,100
815,トランコム,128
816,東海カーボン,93
817,トラスコ中山,77
818,カノークス,116
819,クオール,145
820,池田泉州ホールディングス,71
821,ＭｒＭａｘ,12
822,エコス,76
823,ヤギ,25
824,セブン銀行,112
825,東亜道路工業,80
826,積水化成品工業,74
827,錢高組,65
828,キョーリン製薬ホールディングス,69
829,七十七銀行,71
830,ミクシィ,65
831,ＪＡＬＵＸ,1
832,大垣共立銀行,79
833,東映,22
834,オープンハウス,31
835,浜松ホトニクス,55
836,ヤマザワ,12
837,今仙電機製作所,74
838,東京エレクトロン　デバイス,62
839,東光高岳,92
840,アサヒホールディングス,50
841,サンワテクノス,48
842,三陽商会,56
843,マックスバリュ東北,78
844,大林道路,60
845,ツムラ,76
846,黒崎播磨,88
847,共立メンテナンス,83
848,菱洋エレクトロ,86
849,アマノ,20
850,日東工業,62
851,ＧＭＯインターネット,30
852,富士通フロンテック,89
853,ニチモウ,30
854,神奈川中央交通,73
855,フクダ電子,73
856,ジャックス,76
857,新電元工業,68
858,パル,250
859,キリン堂ホールディングス,77
860,総合メディカル,76
861,ＪＵＫＩ,1
862,ニチコン,77
863,日新電機,82
864,富士機工,122
865,メタウォーター,40
866,中国塗料,82
867,ニチハ,20
868,日本取引所グループ,67
869,木徳神糧,97
870,三重交通グループホールディングス,71
871,沢井製薬,45
872,都築電気,123
873,やまびこ,62
874,日本合成化学工業,72
875,ブルボン,170
876,ピーエス三菱,60
877,ビー・エム・エル,56
878,不二家,16
879,西尾レントオール,93
880,川田テクノロジーズ,76
881,Ｏｌｙｍｐｉｃグループ,30
882,タクマ,76
883,セーレン,75
884,ドウシシャ,56
885,ジーフット,36
886,ティラド,62
887,石原産業,58
888,乃村工藝社,83
